post_id,title,url,score,descendants,time,author,type,your_vote,source,date,hour,day_of_week,domain,category
32137397,The AI Battle,https://aifuture.substack.com/p/the-ai-battle-rages-on,79,128,1658146644,ajafari1,story,1,favorites,2022-07-18,9,0,aifuture.substack.com,story
32087557,Kurt Vonnegut on the “shapes” of stories,https://bigthink.com/high-culture/vonnegut-shapes/,246,77,1657740037,aleyan,story,1,favorites,2022-07-13,16,2,bigthink.com,story
32104609,SearchHut,https://searchhut.org/,385,155,1657859250,tsujp,story,1,favorites,2022-07-15,1,4,searchhut.org,story
32095592,Show HN: I built an app for when I talk too much in online meetings,http://unblah.me/,451,189,1657804150,interleave,story,1,favorites,2022-07-14,10,3,unblah.me,show
32075032,My experience writing and selling a short story,https://superamit.substack.com/p/short-stories-how-much-do-you-make,266,156,1657656799,superamit,story,1,favorites,2022-07-12,17,1,superamit.substack.com,story
32043923,Writing: A misunderstood activity,https://www.solimanwrites.com/writing-the-most-misunderstood-activity/,146,63,1657454678,ahsoli,story,1,favorites,2022-07-10,9,6,solimanwrites.com,story
31940277,Steelmanning: Discover the truth by helping your opponent,https://themindcollection.com/steelmanning-how-to-discover-the-truth-by-helping-your-opponent/,275,180,1656633168,kjhughes,story,1,favorites,2022-06-30,20,3,themindcollection.com,story
30818253,Technicolor Tokyo,https://neocha.com/magazine/technicolor-tokyo/,322,73,1648363296,keiferski,story,1,favorites,2022-03-27,3,6,neocha.com,story
44268106,Show HN: Tidalbase – Pair programming platform for solo devs and open source,https://www.tidalbase.com/landing/,12,0,1749819554,cyndersly,story,1,upvoted,2025-06-13,9,4,tidalbase.com,show
44236926,Show HN: PyDoll – Async Python scraping engine with native CAPTCHA bypass,https://github.com/autoscrape-labs/pydoll,136,39,1749564095,thalissonvs,story,1,upvoted,2025-06-10,11,1,github.com,show
44253083,Show HN: The Roman Industrial Revolution that could have been,https://thelydianstone.com/,65,82,1749685914,miki_tyler,story,1,upvoted,2025-06-11,20,2,thelydianstone.com,show
